week,W-8,W-7,W-6,W-5,W-4,W-3,W-2,W-1,W0,W+1,W+2,W+3,W+4,W+5,W+6
mon,02-Mar,09-Mar,16-Mar,23-Mar,30-Mar,06-Apr,13-Apr,20-Apr,27-Apr,04-May,11-May,18-May,25-May,01-Jun,08-Jun
"LDZ, BE",23.55,23.86,25.23,25.81,27.13,16.91,16.82,16.58,12.69,15.74,15.3,16.09,11.46,8.9,8.07
"LDZ, GB",148.45,156.12,139.36,145.03,137.1,108.46,112.81,102.21,72.02,98.66,107.77,97.11,75.8,60.77,55.83
"LDZ, NL",36.03,39.02,39.05,40.84,41.24,26.49,25.36,25.05,19.49,24.73,21.79,22.5,16,14.8,13.09
"LDZ, FR",65.17,64.73,71.97,72.31,74.64,37.32,43.4,34.33,22.18,33.67,30.3,34.64,24.04,18.94,18.73
"LDZ, IT",101.07,93.44,94.04,100.75,95.61,53.47,50.37,45.62,36.99,42.73,36.91,36.63,34.47,32.51,32.36
"LDZ, DE",102.75,92.27,116.69,109.48,126.1,82.74,71.74,71.53,58.19,41.91,36.86,39.86,26.49,21.76,19.2
"LDZ, AT",33.89,29.67,33.61,33.01,36.21,23.68,25.77,23.17,19.87,15.83,16.7,17,15.16,13.67,13.54
"LDZ, ES",23.23,22.78,18.81,19.8,18.06,16.37,17.1,16.49,11.79,6.58,6.58,6.58,6.58,4.99,4.4
LDZ Total,534.14,521.89,538.76,547.03,556.09,365.44,363.37,334.98,253.22,279.85,272.21,270.41,210,176.34,165.22
"Ind, BE",10.62,10.64,10.99,10.82,10.74,10.56,10.55,10.82,10.56,10.69,10.7,10.24,9.85,9.69,10.01
"Ind, GB",2.74,2.6,2.12,2.3,2.54,2.18,2.66,2.46,2.24,2.07,2.07,2.09,2.13,2.01,1.87
"Ind, NL",19.06,19.76,20.32,20.64,22.22,21.43,20.62,22.27,21.89,21.37,20.72,20.52,22.41,21.19,20.52
"Ind, AT",17.53,15.44,16.25,15.32,16.61,13.04,14.04,12.93,11.5,10.68,10.7,10.54,10.44,10.22,9.87
"Ind, FR",27.04,26.31,26.52,25,24.9,23.03,24.24,23.38,21.79,21.22,21.44,21.99,21.76,20.51,21.02
"Ind, IT",32.66,33.54,33.87,33.84,32.35,28.36,32.56,32,28.98,30.93,32.39,32.48,32.1,30.43,31.54
"Ind, ES",36.51,39.16,36.51,35.78,32.96,28.51,32.14,29.99,31.91,39.58,40.25,40.21,39.29,38.67,39.64
"Ind, DE",142.9,126.61,138.75,132.23,135,112.95,127.42,119.29,107.21,112.87,106.64,106.05,107.58,102.47,101.28
Industrial Total,289.06,274.06,285.33,275.93,277.32,240.06,264.23,253.14,236.08,249.41,244.91,244.12,245.56,235.19,235.75
"GFP, AT",5.52,4.52,4.87,4.66,5.6,3.18,4.24,2.87,2.26,1.26,1.16,1.15,1.13,0.69,0.57
"GFP, BE",4.89,4.47,3.47,4.23,6.07,3.91,8.72,4.72,2.93,5.45,5.6,5.45,4.38,5.3,7.07
"GFP, ES",24.98,28.39,20.53,20.34,18.25,20.2,22.11,18.46,18.19,20.3,16.29,15.85,17.47,19.97,21.06
"GFP, FR",1.29,1.52,1.19,2.44,4.62,0.59,4,0.27,1.14,2.19,1.88,1.81,1.7,2.35,2.57
"GFP, IT",67.54,59.84,49.73,43.54,44.82,41.02,46.36,33.58,41.48,43.19,48.53,48.04,48.98,49.38,54.02
"GFP, NL",13.22,13.22,10.64,8.07,13,8.86,18.16,10.39,7.59,1.08,0.57,0.63,0.53,1.06,1.07
"GFP, UK",39.57,35.81,33.34,26.65,25.53,17.12,27.93,20.09,15.44,30.23,28.77,29.87,23.04,30.2,34.53
"GFP, IE",16.11,14.16,15.39,15.39,13.71,14.05,13.6,14.45,16.09,14.87,14.87,14.87,14.87,14.69,14.4
GFP Total,173.12,161.93,139.16,125.32,131.6,108.93,145.12,104.83,105.12,118.57,117.67,117.67,112.1,123.64,135.29
Local production,128.73,131.65,127.03,123.25,118.45,120.34,118.11,114.07,95.84, 115 , 115 , 115 , 115 , 115 , 115 
NO pipeline flow,291.7,299.2,296.74,293.62,302.88,303.84,291.19,262.09,255.72, 274 , 274 , 274 , 274 , 274 , 274 
East pipeline flow,-40.15,-35.3,-29.46,-32.1,-31.22,-29.23,-27.79,-31.43,-20.51,-18 ,-18 ,-18 ,-18 ,-18 ,-18 
South pipeline flow,89.4,93.17,93.61,97.25,98.03,90.82,90.07,91.89,95.14, 79 , 79 , 79 , 79 , 79 , 79 
Regas/LNG,425.47,402.38,371.47,376.98,388.08,345.18,350.09,342.53,347.98, 355 , 355 , 355 , 355 , 355 , 355 
"Injection, AT",-8.64,-5.4,-7.12,-8.05,-11.84,17.89,4.11,15.48,25.2,,,,,,
"Injection, BE",0.18,-0.83,-1.44,-1.97,-0.9,-0.4,-0.84,-0.33,1.11,,,,,,
"Injection, DE",4.53,31.37,-3.77,9.76,-19.23,37.33,4.51,26.47,60.24,,,,,,
"Injection, ES",-0.18,-0.18,-0.97,3.1,9.96,12.48,10.66,0.6,3.24,,,,,,
"Injection, FR",1.64,3.82,-2.13,-2.99,0.47,47.25,32.24,39.4,51.41,,,,,,
"Injection, GB",12.06,17.14,11.1,2.31,-5.91,4.69,-14.18,-21.64,7.16,,,,,,
"Injection, IT",-51.39,-36.78,-19.6,-16.17,-6.74,26.92,38.96,56.85,64.46,,,,,,
"Injection, NL",-25.42,-31.26,-30.58,-25.85,-12.64,21.42,23.81,30.17,,,,,,,
Inject Total,-67.22,-22.12,-54.51,-39.86,-46.83,167.58,99.27,147,212.82,,,,,,
